,model_id,exclusive_use_area,city,supply_area,apartment_building_count_in_sites,total_parking_capacity_in_site,room_count,total_household_count_in_sites,floor,bathroom_count,heat_type_district,total_household_count_of_area_type,heat_fuel_cogeneration,heat_type_individual,heat_fuel_gas,front_door_structure_mixed,front_door_structure_stairway,front_door_structure_corridor,heat_type_central
273,DeepLearning_1_AutoML_20190421_204058,1.0,0.9190366864204407,0.9077391028404236,0.9013009071350098,0.8161017894744873,0.7978350520133972,0.7842791676521301,0.7540618181228638,0.751563310623169,0.7153722643852234,0.6658321022987366,0.6440730690956116,0.631207287311554,0.6207224130630493,0.6142748594284058,0.596198320388794,0.5065087676048279,0.28201058506965637
274,XGBoost_grid_1_AutoML_20190421_204058_model_33,5.0689991167766325e+20,4.634234275124237e+20,4.155105106861312e+20,1.0245320595970248e+20,7.16068030666328e+19,5.113359309223441e+19,3.865400417558148e+19,3.812074983220314e+19,1.6586229662024204e+19,1.6127987300427629e+19,1.5829189518021362e+19,1.483746961218601e+19,6.850750188928106e+18,5.387218848497795e+18,4.759134376002847e+18,2.0107445336790794e+18,1.751941349294211e+18,
275,GBM_grid_1_AutoML_20190421_193852_model_2,6.883136726136714e+21,6.306136667777913e+21,5.058632815596844e+21,1.2462415776480095e+21,1.1670415560760487e+21,8.412816286982959e+20,7.766032530185587e+20,7.438783389074803e+20,7.160840219634424e+20,5.84857010121214e+20,5.652381338757371e+20,5.1806771285363524e+20,4.892338736362328e+20,1.5739595153325058e+20,9.245679808368398e+19,7.3620928048811475e+19,6.621425708429843e+19,3.4113419176075854e+19
276,GBM_grid_1_AutoML_20190421_201138_model_14,5.394818716849448e+20,2.6547987968409626e+20,2.5533772054669977e+20,8.473695981930126e+19,5.518373213407753e+19,4.6068200197675024e+19,3.236213684656354e+19,3.0939696454686474e+19,2.9082053967372878e+19,2.580157306497296e+19,1.6583652406768697e+19,1.2315697912439898e+19,5.920373136318005e+18,5.611935385715212e+18,1.864806355324371e+18,5.588976689574052e+17,0.0,0.0
277,DeepLearning_1_AutoML_20190421_195113,1.0,0.7689015865325928,0.7437027096748352,0.7376587390899658,0.6204791069030762,0.6073095798492432,0.6027255654335022,0.5676813125610352,0.5495376586914062,0.543639600276947,0.5171497464179993,0.4904450476169586,0.4675077199935913,0.4593954086303711,0.4189884066581726,0.39458414912223816,0.3531120717525482,0.32587817311286926
278,GBM_grid_1_AutoML_20190421_193852_model_21,3.6471621896574473e+21,3.1491389432140755e+21,2.0558266610626394e+21,5.770275373534025e+20,3.411476014045709e+20,2.5691410356158176e+20,2.4303608538797913e+20,2.338819210110231e+20,2.3283566093040353e+20,1.8425151424558635e+20,1.8136138196127947e+20,1.718128359575797e+20,1.4130122116102829e+20,2.5325647257866863e+19,2.460314937116223e+19,2.3675423241086697e+19,8.642266397679813e+18,2.747869773323829e+18
279,DeepLearning_1_AutoML_20190421_193852,1.0,0.9928938150405884,0.8188231587409973,0.8140654563903809,0.7656422853469849,0.732411801815033,0.725400984287262,0.7181556224822998,0.6458142399787903,0.6177858114242554,0.5919966101646423,0.590345561504364,0.5894742608070374,0.5260781645774841,0.5236675143241882,0.5226098299026489,0.5056532621383667,0.4741297662258148
280,GBM_grid_1_AutoML_20190421_204058_model_27,1.6662296515261655e+20,6.469459127722364e+19,3.5356122402160378e+19,3.048056898622954e+19,2.0099802631466123e+19,1.8340199197954802e+19,1.6854945905806148e+19,1.6472150932595933e+19,1.2463411802073465e+19,6.155697761720205e+18,3.6742863850506813e+18,2.6859713918486446e+18,2.5264550695246234e+18,2.3779165461702246e+18,1.9669759994342932e+18,1.932409415441318e+18,5.2319278119203635e+17,4.027730307674276e+17
281,GBM_grid_1_AutoML_20190421_201138_model_15,9.883469137838097e+21,7.485353564709069e+21,5.52703250959128e+21,1.320926177643578e+21,1.1561524151270202e+21,9.703186948529712e+20,9.018865688838207e+20,8.999379176200528e+20,5.062246883929065e+20,4.630578970707928e+20,2.809697819040185e+20,2.422493452358868e+20,2.2191522348240208e+20,1.9436756657889293e+20,1.211727168780307e+20,9.308967697663184e+19,7.677508715980784e+18,0.0
282,GBM_grid_1_AutoML_20190421_204058_model_10,6.560860825651941e+21,6.057930344464596e+21,4.011917449202462e+21,9.793958406394248e+20,7.419010475648321e+20,7.373787298515103e+20,6.040306633222788e+20,5.0829212209684624e+20,5.011704181579737e+20,3.9119793365088784e+20,3.855780042658829e+20,2.4297683490538154e+20,2.3688448495633983e+20,2.3132969943625735e+20,1.654821646641943e+20,9.584589754076863e+19,3.2429306011904377e+19,0.0
