,model_id,ntrees,learn_rate,max_depth,sample_rate,col_sample_rate,score_each_iteration,seed,stopping_rounds,stopping_metric,stopping_tolerance
73,GBM_grid_1_AutoML_20190425_040839_model_6,34,0.5,9,0.8,0.7,False,-1464168459831752575,0,deviance,0.011609086505314302
74,GBM_grid_1_AutoML_20190425_040839_model_7,146,0.05,5,0.7,0.7,False,-6677212343259294683,0,deviance,0.011609086505314302
75,GBM_grid_1_AutoML_20190425_040839_model_8,84,0.5,11,0.5,0.7,False,-6353264181190747711,0,deviance,0.011609086505314302
76,GBM_grid_1_AutoML_20190425_040839_model_9,42,0.8,6,1.0,0.7,False,-8438608121014343408,0,deviance,0.011609086505314302
77,GBM_grid_1_AutoML_20190425_044008_model_1,107,0.1,12,1.0,1.0,False,-2145753676651330398,0,deviance,0.011609086505314302
78,GBM_grid_1_AutoML_20190425_044008_model_10,34,0.8,14,0.6,1.0,False,-2835167148929930167,0,deviance,0.011609086505314302
79,GBM_grid_1_AutoML_20190425_044008_model_11,471,0.005,8,0.8,1.0,False,7319556230840783082,0,deviance,0.011609086505314302
80,GBM_grid_1_AutoML_20190425_044008_model_12,99,0.05,16,0.6,1.0,False,-1286529176532891972,0,deviance,0.011609086505314302
81,GBM_grid_1_AutoML_20190425_044008_model_13,32,0.5,17,0.5,0.7,False,-5239838716188652147,0,deviance,0.011609086505314302
82,GBM_grid_1_AutoML_20190425_044008_model_14,110,0.08,9,0.8,1.0,False,5532608390363354808,0,deviance,0.011609086505314302
83,GBM_grid_1_AutoML_20190425_044008_model_15,40,0.8,5,0.5,0.7,False,-2259474453243476228,0,deviance,0.011609086505314302
84,GBM_grid_1_AutoML_20190425_044008_model_16,308,0.008,17,0.8,1.0,False,114504730336431193,0,deviance,0.011609086505314302
85,GBM_grid_1_AutoML_20190425_044008_model_17,472,0.005,9,0.6,0.4,False,1637140648421013566,0,deviance,0.011609086505314302
86,GBM_grid_1_AutoML_20190425_044008_model_18,147,0.05,5,0.5,0.4,False,-5391656200793786218,0,deviance,0.011609086505314302
87,GBM_grid_1_AutoML_20190425_044008_model_19,318,0.01,3,0.6,0.7,False,-2455693033529863044,0,deviance,0.011609086505314302
88,GBM_grid_1_AutoML_20190425_044008_model_2,72,0.5,4,1.0,0.4,False,7317451229729062013,0,deviance,0.011609086505314302
89,GBM_grid_1_AutoML_20190425_044008_model_20,457,0.005,12,0.9,1.0,False,-6108439048023938191,0,deviance,0.011609086505314302
90,GBM_grid_1_AutoML_20190425_044008_model_21,299,0.008,8,0.6,0.4,False,2719273485049911756,0,deviance,0.011609086505314302
91,GBM_grid_1_AutoML_20190425_044008_model_22,62,0.5,4,0.8,0.4,False,6066227451235123838,0,deviance,0.011609086505314302
92,GBM_grid_1_AutoML_20190425_044008_model_23,90,0.08,15,0.8,0.4,False,-2235475147790138101,0,deviance,0.011609086505314302
93,GBM_grid_1_AutoML_20190425_044008_model_24,48,0.5,10,0.8,0.7,False,-3443545936679401686,0,deviance,0.011609086505314302
94,GBM_grid_1_AutoML_20190425_044008_model_25,471,0.005,16,1.0,0.7,False,-5037886019587648118,0,deviance,0.011609086505314302
95,GBM_grid_1_AutoML_20190425_044008_model_26,65,0.8,3,0.9,1.0,False,4210338702322100548,0,deviance,0.011609086505314302
96,GBM_grid_1_AutoML_20190425_044008_model_27,572,0.001,7,0.5,0.4,False,126848077407799910,0,deviance,0.011609086505314302
97,GBM_grid_1_AutoML_20190425_044008_model_28,215,0.005,11,0.8,0.4,False,-4926057188501907556,0,deviance,0.011609086505314302
